Comment,VADER,HuggingFace
COME ON CANADA 🇨🇦 LET&#39;S DO IT,Neutral,positive
This is how it is done in the USA. India has no power over US policy. Modi needs to get his people under control.,Negative,neutral
Never come illegally to us 😂,Neutral,negative
"The real question is why they have to leave India? If the government of India is not corrupted and involved in racial and religious politics, and unleash the economic power of India, why do so many Indians have to leave the country and get humiliated like this. Indian government should see this as a slap on their face. Shameless Indian government will blame the US but forgetting their policies and mishandling of government and public money is the root cause.",Negative,negative
So.,Neutral,neutral
No sympathy,Neutral,negative
Who cares????,Neutral,neutral
"Well, I guess we&#39;ll be getting less &quot;Scam Call Center&quot; random phone calls....",Positive,negative
Great job ICE!,Very Positive,positive
"You break the law, you get handcuffed... whats the issue here?",Neutral,negative
"Ohhh horrors, criminal being treated like a criminal...awful.😂",Very Negative,negative
Yes that&#39;s what happens when you are arrested!,Negative,negative
Whatever right I think that they figured the tears are going to soften us up,Negative,neutral
Don’t come back,Neutral,negative
Oh well <br>Enjoy your home country,Positive,positive
Stay out illegal,Very Negative,neutral
Did you go there illegally crossing the border?,Neutral,neutral
Nice!,Positive,positive
Obama deported over 4 million people but does the media report that?,Neutral,negative
So misleading putting an elderly couple on the cover of your video!,Very Negative,negative
Cya,Neutral,neutral
"What next, bank robbery has ear damage from the unfair sounds of alarms ringing out in the safe??",Very Negative,negative
Boo hoo,Neutral,neutral
That&#39;s what we do here in the US! You entered and we&#39;re living here illegally! You should learn our laws! I have no sympathy for these criminals,Very Negative,negative
Take the statue of Liberty down,Very Positive,negative
"They left out the reason these people were targeted for deportation. And if things are so bad in India, and no work, where on earth did he get $50k to pay to go to the U.S.? That must be a fortune in India. Heck, it&#39;s a lot of money in the U.S.!",Very Negative,negative
Illegal immigrants be Gone!,Very Negative,negative
Yeah ... your hands and feet were cuffed because you are a criminal and so they dont try to run around in the plane ...its called being in Custody 🤦,Negative,negative
And they are doing rally..... with their yello flag... don&#39;t you see that.....,Neutral,negative
Are they really complaining about being treated like criminals after doing something they knew was illegal?! 😂😂😂,Very Negative,negative
Crybabies what do you think they do with people who break the law,Neutral,negative
"Anyone who disobeys law cannot be expected to be treated well. If you dont have a job you should fight with your government, not enter another country illegally and demand your rights",Negative,negative
Illegal means Illegal...laws are in place for a reason,Very Negative,neutral
"lol he spent 50,000 dollars to go illegally to USA and he’s complaining the Indian government doesn’t give him a Job? He could open a restaurant in India with that kind of money.",Positive,negative
That money 💰 they have to live in India without troubles. It means they are rich in India.  😂put it in the bank and live in that interest....,Very Positive,positive
"I myself am an immigrant although it doesnt feel like it since... US to Canada isn&#39;t that much of a jump. <br><br>I had to take an english test (i only speak english), had to have x amount of dollars in my bank account, FBI background check, verify my education...etc. How are people going to other countries and just starting a life without having gone through the proper channels?<br><br>I guess my question is, when does a country have the right to kick people out who have legally entered the country or over stayed their visa?",Negative,neutral
Got Your Punjabi Wakeup Call,Neutral,neutral
Don&#39;t come here illegally. Problem solved.,Negative,neutral
Sensational journalism again.,Neutral,neutral
"Instead working hard in India and living a honest life, these criminals tried to enter US. Instead of the Indian government throwing these criminals in prison they let them lose. Where are the rewards for hard working Indians that stayed there and working hard daily?",Very Negative,negative
"Generally, Indians (India) are hard and intelligent workers. They should be assisted in entering USA legally.",Positive,positive
"Too bad, so sad<br>Be glad it wasn’t Poland",Neutral,negative
Don&#39;t believe it what they says.....,Neutral,negative
"Thank you, Lord Jesus, for President Trump and deportation .",Positive,positive
SO WHAT!,Neutral,neutral
I’m an Indian and I say - don’t do anything illegal or you oay the price.,Very Negative,negative
Be glad they  didnt gag them,Very Positive,neutral
There are so many people from that place here .,Neutral,neutral
I would expect the same if I entered India illegally. LOL,Very Positive,neutral
"Oh my god, how dare them get treated like a criminal.😂😂😂",Very Positive,negative
THE CRUELTY AND SADISM OF AMERICANS IS EXTREMELY DISGUSTING AND PURE DIABOLICAL..WE ARE ALL PART OF THE HUMAN FAMILY AND SHOW SOME COMPASSION TO THOSE THAT ARE LESS FORTUNATE.,Negative,negative
"Hell man, spending USD 46K to come to US? He should have started a good business with that money.",Negative,negative
More propaganda.  If you want to come then come legally. <br>If we broke Indian law wouldn&#39;t we be handcuffed?<br>Don&#39;t do the crime if you can&#39;t do the time.,Very Negative,negative
Enough already.  Be nice.  Now go in your community and help young people.  I wish these people the best and God bless us all.,Very Positive,positive
That is completely unnecessary.,Neutral,negative
Canada follow this example please,Positive,positive
Should’ve came over here legally like my family did.,Positive,neutral
Very sad to see this. Columbian president sent presential plane to fetch their citizens,Very Negative,negative
"Why are they  playing  the  pitty card, don&#39;t  break the  law and you won&#39;t  end up in cuffs",Positive,negative
Praying for Them. 🙏🙏🙏🙏🙏🙏,Positive,positive
Wonder when kanada will do this....,Neutral,neutral
They have to restrain you. Did you see the movie Con Air? We want our workers safe. There should be no room for you guys to overpower them. you going to be shackled,Positive,negative
"WHY DONT YOUR PRESIDENT OFFICIAL HELP ITS PEOPLE, COME BACK LEGALLY",Positive,negative
Got out and stay out,Neutral,neutral
"US federal law, U.S.C v.8 section 1325, Enter the US illegally is a crime, subject to detain and deportation.",Very Negative,negative
"why did you leave our country, and for all this?",Neutral,negative
Tell your story to all of India! Maybe they will stay home.,Neutral,neutral
Boohoo. Don&#39;t break our federal immigration laws.,Neutral,neutral
HOW DID YOU PAY 50K USD TO GET HERE THEN?,Negative,negative
You should have Stayed HOME !,Neutral,negative
This is NOT right! As an American i am ashamed.,Very Negative,negative
"&quot;the government doesn&#39;t give us jobs here&quot; bro you don&#39;t rely on the government for jobs, that&#39;s not hiw the economy works sure they have job placement but overall 80% of jobs are from the private sector <br><br>This is the mindset we are trying to combat, this dependence on free gibs from the state",Positive,negative
All these people coming over here know or knew they are breaking our laws.,Neutral,negative
"As an Indian, there is absolutely no need to allow people to stay in another country illegally.",Negative,negative
Good to know they have a different perception of america now.,Positive,neutral
"The US was forced to implement mass deportations by the hoards of invading ILLEGAL immigrants.  If they had come here following legal procedures, they wouldn&#39;t have to fear deportation!",Very Negative,negative
"Gosh, I grew up in America and I’ve had my hands cuffed multiple times. Never was I guilty but I’ve had my hands cuffed multiple times for being a citizen. Must be rough.",Positive,negative
Good don&#39;t come back,Positive,negative
I am so disappointed to see the comments. Ye tumhaare baap bhi hosakte haen,Very Negative,negative
Please have some sympathy for them they are your elders. There&#39;s unemployment in Punjab. Many of them sold their family lands and went for a last chance.,Positive,negative
They weren&#39;t mistreated. They landed IN the plane.,Neutral,neutral
Bye now,Neutral,neutral
What do you expect first class with three course meal 😂your being deported,Neutral,negative
<b>says there is no work in India</b><br><br><b>has 50 grand cash</b><br><br><b>confused Pikachu face</b>,Positive,negative
B Bye 👋🏻👋🏻👋🏻,Neutral,negative
They want first class and continental breakfast 🤣🤣🤣🇺🇸🇺🇸,Neutral,neutral
Boooboo,Neutral,neutral
"Goody goody num-nums, please COME AGAIN!",Positive,positive
Don&#39;t come back!!!!,Neutral,negative
These jerks better be happy the US isn&#39;t charging them for the ride home! I would if I was the president!,Very Positive,negative
Well it’s a lot better than going home in a body bag.,Very Positive,positive
My neighbors from Punjabi came legally 20+ years ago and every adult in that household works their butt off.  Come legally in 20 years.  Zero immigration until then,Positive,positive
"You come to a country illegally, you can&#39;t expect hospitality",Neutral,negative
I am sorry but we are all out of champaign flights and red carpets. SUCK IT UP,Very Negative,negative
The guy is saying there is no job. When literally their dilapidated infrastructure around them. 😅,Negative,negative
All the free crap they got dont think they were mistreated,Positive,negative
Now we know who is funding the kart-tells $50k at a time,Neutral,neutral
GOOD!,Positive,positive
"They obviously do that for the safety of the crew and guards  because there are a lot more illegals than there are guards. It’s just weird to them because the safety of the AMERICAN guards is being put first, their not use to that",Very Positive,negative
"Play stupid games, win stupid prizes.  You can always leave voluntarily on your own without restraints.  Your choice.",Positive,negative
"They spent 50k USD to go such a far country and blaming that Indian gvt did not provide jobs...illogocial statment from illegal immigrants....could have just used the money to set up even a small local business, they wudnt have gone through any harrowing exp.",Very Negative,negative
"If I was wealthy in punjabi, I wouldn’t ever think of coming to Canada.",Positive,neutral
You broke the law and face the consequences! Don’t expect sympathy and a crocodile tears from us. You lived long enough off our tax $!,Negative,negative
Who cares. They came illegally and broke our Immigration laws.,Neutral,negative
"Stay the hell out of the u. S and want you to do it, legally? I guess you forgot about that part.",Very Negative,negative
Follow the laws and this wouldn&#39;t happen,Neutral,negative
Waaaaa😢 poor babies.😂,Negative,negative
Canada next.,Neutral,neutral
A terrible way to handle future Democrat voters.,Negative,negative
"What did you expect? We have processeS for you to enter LEGALLY. By entering illegally, you are a criminal. If I want to leave the United States and return to U.S., I, myself, a U.S. citizen has to have my passport in hand or risk being detained, even though I’m a citizen.",Neutral,negative
😢 I sorry this is not how people should be handled.<br>This mistreatment is unjust.🇨🇦,Neutral,negative
"Do not brake the law and you will not be handcuffed.<br>Stop invading other countries, people in india get arrested for using gps, whynis this propaganda video shown",Very Negative,negative
They get no sympathy from me. Try again legally.,Positive,negative
Just a suggestion.  India should come to the US  and pickup the immigrants.  then India would be in control of how they are treated on return trip.,Neutral,neutral
scamming people out of money is easy in the US isn&#39;t it,Positive,negative
I can’t wait until Canada follows suit,Neutral,positive
If you cross the United States of America it is a crime! Is it not a crime if a American citizen cross the India border line?,Very Negative,negative
"If you break laws, you are a criminal.",Very Negative,negative
"Hmmm you were here illegally? I believe you do something illegal then you’ll have to wear handcuffs. Acting like you can be free on military plane, give me a break.",Positive,negative
Hypocritical how the British invaded India and looted everything for centuries but are mad that people India choose to emigrate to the U.S. The British have gone around the globe like a plague of locusts screaming IMPERIALISM and stolen everything that wasn&#39;t nailed down. Your country is poor because the colonial wealth stopped coming into the UK govt. You had nothing before and now you have nothing again. Get to work and fix your own country instead of exporting criminals to penal colonies and extracting wealth from other countries like in the old days. What a bunch of lazy bums sipping tea and eating scones and being crybabies.,Very Negative,negative
"I guess they couldn&#39;t run away from their problems. The &quot;Illegal Migration Industry&quot; must be a multi-billion dollar industry by now. I&#39;d guess that lots of politicians are being paid as well, all over the world. How many millions of people times how many thousands of dollars? People are getting rich off this, just like homelessness in California. It&#39;s a racket.",Very Positive,negative
Welcome to Canada😂 NDP welcomes you🥹 let’s turn Canada into India!!,Very Positive,positive
"They entered the USA illegally, so what can they expect from the country? They broke the law to get in.",Negative,negative
Operation FAFO,Neutral,neutral
😂😂😂😂,Neutral,neutral
Criminals wear handcuffs this is what you will wear when you break laws.....,Very Negative,negative
"You break the LAW and you get cuffed, weird,🤔",Neutral,negative
Would you want to be on a plane with 100 people who are resentful and angry with you ???? Our law enforcement don’t know if these people will act out and harm everyone on board . Be serious !,Very Negative,negative
Thank you President Trump!!,Positive,positive
Boohoo should not have come here.,Neutral,negative
Oh this is where those phone scammers come from.,Neutral,negative
Illegal is illegal. Criminal is criminal. That is why you were shackled. Try to come back and see what happens.,Very Negative,negative
"Yo don’t come here illegally, you broke American laws. Yes you get handcuffed and shipped out.",Neutral,negative
"At <a href=""https://www.youtube.com/watch?v=LqoaAP5h67Y&amp;t=58"">0:58</a> the guy they are interviewing states he &quot;left to earn money as there is no employment here&quot;  but it cost &quot; 4 to 4.5 million rupees or $46,000-51,000 USD&quot;  if there was no employment, how did he have that amount of money to get into the States?🤔",Very Negative,neutral
I&#39;m just crying my eyes out here..... NOT,Negative,negative
"If someone breaks the laws of another country by illegal entry, that person FULLY expects to be jailed, fined and deported. It&#39;s a no brainer.",Very Negative,negative
"So what?!?  Officers outnumbered, in  a confined space, have a right to ensure the safety of all the criminal deportees , the crew, and the aircraft.  This is not mistreatment.  It is a straight upsafety measure.",Very Positive,neutral
When do the south Africans get sent back?,Neutral,neutral
So sad to see this 😢<br>The spine that a small country like Colombia government showed to trump was not even shown by India government….so shame 😢 Modi’s 56inches shrinks to 1/2inch 😂,Very Negative,negative
Cry me a river. They make terrible bosses and business owners as well. <br>You should see how they treat their employees.,Negative,negative
Sorry about that but the law of our land clearly states if you do not have the legal right to be here you are committing a crime. This is how criminals are dealt with. Handcuffed yes just in case you start a raucous. It’s for your protection as well as the crew,Negative,negative
Shouldn&#39;t have broken our laws,Negative,negative
Obey the Law have respect.,Positive,neutral
They broke the law!<br>Same thing happened to me when I broke my court order. <br>Too f&quot;in bad. This news agency should look at some real news,Very Negative,negative
Can’t have you trying to jump plane from 36k feet can they,Neutral,negative
This Is the law 👍👍👍<br>Canada have to do the same 👍,Neutral,positive
Were you fighting law enforcement?,Negative,neutral
"Why is this in my feed. Am I supposed to care? Newsflash, me and 80 million Americans don&#39;t. Go cry to the liberals, oh wait, with no U SAID, their broke.",Very Negative,negative
Canada need to do the same but in human way.,Neutral,neutral
"what about the coverage of spanish Immigrants? biased media, time to boycott global news and cp24",Very Negative,negative
Modi magic 😂😂😂😂,Neutral,positive
Biden should pay that guy back his 50 grand.,Positive,negative
These people hate their own Country because they hate themselves,Very Negative,negative
"The so called leader of the free world, the USA did not even bother to maintain the human rights of these illegal emigrants. They went to the USA for a better life and not with any malicious intention. India had already accepted them before the deportation but the US government should respect the human rights of these people.",Very Positive,negative
One can only imagine the treatment you&#39;d recieve illegally entering any of these countries.,Neutral,negative
Wow!! What a use of resources ? Do you have that much amount of time to post these Videos as NEWS. Unlawfull people are sent back its good. Why you have to go to their house to get the reaction.,Very Positive,negative
"So long, farewell, auf wiedersehen, adieu<br>Adieu, adieu, to you and you and you",Neutral,neutral
POOR BABY,Negative,positive
Great now get all the ones in brangeldash and Scarborough and take all your stupid fireworks with you the ones you like to let off every night while you&#39;re racing your stupid Honda&#39;s up and down the street at 2 in the morning,Neutral,negative
"Bye bye, dont come back unless its done legally",Positive,negative
GOODBYE!!!!,Neutral,positive
I see no problem here.,Very Negative,neutral
How do they even come in without visas? Or passports?,Neutral,negative
"Yes, your hands and feet were cuffed. Did you think those soldiers would let you move around freely with the possibility of you taking over the aircraft? Duh.",Very Positive,negative
These are grown men who broke the law.,Negative,negative
Don’t do illegal and you won’t be handcuffed. Don’t blame US blame your self,Very Negative,negative
"If your Deported, you should be shackled",Neutral,negative
"How can we get PM of Canada also do the same for Brampton, ON or Surrey, BC? I bet, there will be tens of thousands of them.",Neutral,neutral
Glad you made it home safely.,Very Positive,positive
And? If I went to India illegally would I expect any different treatment?,Neutral,negative
This is good now stay there don’t break the law bye and bring this to Canada,Positive,positive
The law was broken period I don’t want to hear this and that,Negative,negative
"This is the penalty for crime, you broke the law in the US.  Now you have to take your consequences",Very Negative,negative
Don&#39;t come then.....stay home....,Neutral,negative
"You broke the law, they mistreated themselves more when they were closing borders. They deserve that coz the broke the law.",Very Negative,negative
🎻,Neutral,neutral
Don&#39;t care.  Canada needs to do EXACTLY the same.,Positive,negative
Were you expecting a nice fruit basket and a pat on the back??,Positive,neutral
Oh well,Positive,neutral
I am so sorry 😢😢😢😢. I feel for you.,Negative,negative
Great News Get Out 👎😭,Very Positive,positive
Canada plz follow,Neutral,neutral
"They were law breakers and needed to be contained for the security of the flight, plane and crew. They were not to be trusted. They should have sought legal entry into the US. There should be and now are consequences, people will think twice about Illegal entry. There are no more free rides.",Negative,negative
"Smart, don&#39;t want them getting uppity at 7000 ft and them not be cuffed.",Positive,neutral
"Well boohoo. Time to cut Immigration Canada&#39;s staffing by 75% and retain 1/2 for legal immigration and turn the other 1/2 into the department of deportation, complete with heavily armed, highly trained CQB teams. 🇨🇦",Positive,neutral
Usually when you break the law you get handcuffed so um......,Neutral,neutral
Is good 🇮🇳🇮🇳🇮🇳🇮🇳🌎✌️💯,Positive,positive
no sympathy for them,Neutral,negative
So confused. What is their expectation? They crossed illegally. They want deportation in a full service flight?<br>They are handcuffed to protect the crew/pilot.,Positive,negative
When he become racist. Dont accept he come to visit,Very Negative,negative
"While India stays silent, Modi stay silent 😂😂😂",Neutral,neutral
Get em out!,Neutral,neutral
Canada and UK need this next. Direct flights to punjab from Brampton and Surrey.,Neutral,neutral
I mean if you commit crimes then you should be handcuffed,Positive,negative
India did not give them jobs.<br><br>Did they bother to vote right ?<br><br>Useless folks blaming Indian Govt,Very Negative,negative
lol😂😂😂lol 😂I just 😂😂😂😂😂😂,Neutral,positive
Well i no they had a dang bathroom for them and yea id say they did handcuffed them bc they r criminals they was here illegal if they&#39;d came here the right way they wldnt have had to go back to were ever they came from and plus that 1 also said their government want give them jobs well nobody is just hand u jobs u have to go out to find jobs and not set on ur butt but if they wasnt criminals they should have came in the United States the right way instead of the illegal way,Very Negative,negative
"You’re criminals, did you expect them to roll out the red carpet or give you comfy, business class seats? NO.",Very Negative,negative
Action = consequence. Dont complain when youre held to account. Should have done it correctly. Fully support the removal from my country. Stay in yours and work towards making it better rather than abadoning ship,Very Positive,negative
"Break the law. Get treated like crminals.  Wild concept,  i know",Positive,negative
Not possible in Canada as it already became a full fledged Canindia,Neutral,neutral
"paid 70k cad to go to usa, jesus, start a business their",Neutral,negative
You guys need to go back home and make your home better because we&#39;re in the process of making our home better,Very Positive,positive
Boo hoo.,Neutral,neutral
Looking in the cameras like “did you get that”? Buddy you all broke the law coming to the states illegally.,Neutral,negative
Aww cope harder 😂,Neutral,negative
Indians thinks by landing in US they&#39;ll automatically become rich instantly 😂😂😂,Very Positive,neutral
Good .. atleast you came back alive .. not like some Arab nations putting in prison for 10 years ... Indians STAY IN INDIA ... worlds next SUPER POWER ...,Very Positive,positive
Ahhh satisfaction seeing these smarmy law breakers face consequences.,Positive,negative
No compassion for Canadians locked up for legally protesting at the truckers convoy.<br>I needed to be vetted and check my bank accounts just for temporary residency in mexico. WE NEED MORE OF THIS IN CANADA.,Negative,negative
So criminal dont get handcuffed in India ??,Very Negative,neutral
You go to the USA to make money but you spent $45k to get there??,Neutral,negative
Thank US government that they sent you back. Better than detainment.,Very Positive,positive
THIS is what we NEED in Canada!,Neutral,positive
"They were told for months that if they are there illegally, they will have to leave. They didn&#39;t listen. What were they expecting,  a business class flight??",Negative,negative
MAKES YOU WISH YOU HAD ENTERED THE LEGAL WAY DOESNT IT !,Very Positive,negative
Indian government should have gotten these deportees first class ticket home on Indian Airline instead of US military plane.🤔,Neutral,neutral
When they have so much cash why not invest in India there are so many more opportunities,Positive,positive
Where they sent India? Looks like Canada to me. Oh wait.,Positive,neutral
"Bro could have just applied for a work visa. There’s a butt load of seasonal jobs in tourism and agriculture that will pay for room and board if you have your papers. My cousin owns a farm that does this. You get paid minimum wage but it comes with food, electricity, water, rent and several shared vehicles. The only catch is that it’s only available in spring-summer.",Positive,neutral
"Abusive mistreatment of human beings, treated like lower animals!!",Very Negative,negative
And you thought what? They were going to send you off in first class seats?,Neutral,negative
common sense if you&#39;re illegal to have to be ready to face the consequences,Negative,negative
"You committed a US crime and you were restrained while being deported, which is SOP.  If you didn’t want this then you should not have committed a US criminal act.  Be thankful that you aren’t in Gitmo.",Neutral,negative
"No work here, but has about 50k USD to travel there for work. You just can&#39;t make this up, Canada next i hope.",Very Positive,negative
Nice that we all agree on something apart from tariffs lol,Very Positive,positive
You broke the law coming here what the hell do you expect.    Nobody can just walk into your country and do what they want,Very Negative,negative
Now you learned <br>Don’t come illegally,Neutral,neutral
Good,Positive,positive
"Illegals shouldn&#39;t be allowed anywhere. 40 lakhs, 50 lakhs or 50k usd. Enough money to get a loan and start any business especially in India. So stupid.",Very Negative,negative
you have to come legally my dear! You break the law and now your cry!,Negative,negative
What did you expect? You came here illegaly...,Neutral,negative
"Sorry but not sorry that your country sucks, but thats not the fault of the US and Canadian governments",Neutral,negative
Come legally,Positive,neutral
Canada should do the same.,Neutral,neutral
Why are they acting like a VICTIM? 😂,Neutral,negative
The Chinese illegally coming from the southern border are a <b>big concern</b> for American 🇺🇸 national security. <br>The Indian immigrants don&#39;t have the same issue.,Positive,negative
"Illegal immigrants being forced back to their countries. I would say the reason for being handcuffed is so they cannot cause trouble on the flight and put the aircraft and US personelle in danger. The illegal immigrants were desperate enough to go to the US, they would also be desperate to not be forced back home.",Very Negative,negative
Corrup scam Indian government,Very Negative,negative
Canada needs to follow suit.,Neutral,neutral
"This lot need to realise that the US, nor the world is thier social security system",Positive,negative
"Was just watching as I saw my original post about Birth Tourism being disappeared.<br>No foul language, no racism or other nonsense just facts that Canadians need to be aware of.<br>Let’s try again. There are organizations for Birth Tourism in Canada and China arranging for pregnant women to come here and give birth at just the right time to ensure a child with Canadian citizenship. It’s highly organized and everything is arranged in advance for these women. Canadians need to be aware of this going on. I only became aware of this a couple days ago myself. Can’t help but feel this information is being actively suppressed.<br>No one I have spoken to about it was aware either. Canadians have a right and the media has a responsibility to make all Canadians aware of this .",Positive,neutral
"Obviously this &#39;news&#39; piece is for sympathy. <br><br>They did not speak English which is the most spoken language in the U.S. and  Canada.  The deportation  was announced BEFORE the president came into his power. It is not a requirement that illegal migrants be provided an interpreter. They resisted. And as such, had to be restrained so that they would not make a run for it.<br><br>They were repatriated at the cost of American taxpayers.<br><br>Next, the human smugglers need to be located and if they have citizenship, revoke and repatriate then and their  proceeds and assets from crime seized. With restitution to the victims.",Negative,negative
I feel very blessed to live where those people think the grass is greener.,Very Positive,positive
Canada need to do the same here!!!,Neutral,neutral
"This is a lose face matters for those poor countries’ leader, because of their way of rule(corruption ~~~) their country and this things happen.",Very Negative,negative
"Sure, a lot of belly aching😂",Positive,negative
Lol bye-bye,Positive,neutral
"You broke the law. Stop your bawlin. Just because the country you ran away from doesn&#39;t have the rule of law, doesn&#39;t mean we&#39;re obligated to give you first class treatment as we deport you for BREAKING THE LAW.",Very Negative,negative
The Europeans are next,Neutral,neutral
What did they expect.  Spread the word.,Neutral,neutral
Good. Follow the law or gtfo.,Positive,negative
Can we have even more extra scary music? I feel the mood and tension levels aren&#39;t high  enough yet.,Very Negative,negative
"Something is not adding up.  So this chap had USD 50,000 to spend and pay someone to illegally take him to America BUT he did not use that same USD 50,000 to start a business or something in his own country?  The average Yearly salary in India for a store cashier is USD 2,000  and  for a medical doctor it is USD 11,000.  Just bonkers how some think.  Yes, all deportees are handcuffed and monitored.  Best, to save money, apply the proper papers and wait for approval, in your country,  like everyone else.  This is best so you don&#39;t have to go through this situation again.",Very Positive,negative
oh no they return Home!,Negative,neutral
Criminals must be secured,Negative,neutral
You came illegally and you will leave legally.   It is simple!,Positive,neutral
"Is the USA supposed to trust a plane full of unrestrained criminals who refused to leave the country? Of course they were going to put them in chains, they broke the law.",Very Negative,negative
"<a href=""https://www.youtube.com/watch?v=LqoaAP5h67Y&amp;t=68"">1:08</a> 46~51000$?! Even most Western Europeans don&#39;t have such sums to pay😅 Stop complaining that you don&#39;t have a job. You clearly have money, come on!",Negative,negative
"Time line <a href=""https://www.youtube.com/watch?v=LqoaAP5h67Y&amp;t=67"">1:07</a>. The person mentions approximately Rs.40 lakhs paid. With such an amount, a small business could have been started here in India.",Neutral,neutral
So if I go to Indian and sneak in they wouldn’t cuff me,Neutral,neutral
FAFO!  There are laws in regard to immigration. You follow the law and you don&#39;t get cuffed and deported. SIMPLE...,Neutral,negative
They think india&#39;s jail treat them better? 😂😂😂 they would of gotten lashes.  US treated pretty nice,Very Positive,negative
"These are grown men.<br>Who broke the law.<br>Edit: to the fools who feel hurt by the truth im Jamaican descent, born here. Im not yt lol.",Very Negative,negative
Law is law and you know the consequences if you go to a country not legal,Neutral,negative
"@Babul1958<br>0 seconds ago<br>check how many are Khalistani&#39;s",Neutral,neutral
😂 thats what you get for ribbing America  of all the stuff you did. Byeeeeeeee,Neutral,negative
Mexico deported Americans that over stayed their visit.. Why didn&#39;t that make national news??,Neutral,negative
What&#39;s with the scary music Global?  You should be playing the YMCA song in the background.  Shame on you,Very Negative,negative
They act like they didn’t commit a criminal act,Neutral,negative
They destroyed Canada drugs makers  Britain Colombia caught kalisthan criminals drug labs so …..! Don’t show this like innocent tv,Negative,negative
"They were never vetted, better to be safe than sorry.",Neutral,negative
You are lucky only handcuffed should be sending to gitmo or Venezuela you broke the law if you enter other county then you can see how much better the US threat you!!!,Negative,negative
"Veere hun ronda hai, tenu patta nahi se  ki border paar karna jurm hai te jurm karan wale nu haath kadi hee lagdi hai. Wahwguru da shukar karo ki Modi and Trump de deya de naal tusi ghar vich vapis phaunch gaye ho, trump tuhanu chuk ke Gitmo jail vich bhej denda te sari umar uthe he rehna se.",Neutral,neutral
"What were they doing in the US? They appear to be seniors, why were they there?",Neutral,neutral
Nice try Global.,Positive,positive
No sympathy here! BYE BYE! And stay out.,Positive,negative
Would they rather be sent home in cuffs or sit behind bars in a foreign country??,Neutral,negative
I have to wonder how India would have treated them if they entered illegally?,Neutral,neutral
"Because you were criminals and that is how criminals, that can&#39;t be trusted, are treated!!!!",Very Negative,negative
Everyone in North America is an immigrant except the natives. The founding fathers also came in illegally.,Neutral,neutral
"Why were they deported? oh they had been in our country illegally for years, what a surprise, getting detained where you are cuffed is no surprise, happens to Americans everyday who are detained by our police forces.",Very Negative,negative
Why did the Europeans occupy North America? Are they not illegal?,Very Positive,neutral
Welcome home. Hope you now realize this is the only country that is your home.,Very Positive,positive
"<a href=""https://www.youtube.com/watch?v=LqoaAP5h67Y&amp;t=36"">0:36</a>, Why did you leave india and go to America illeagally?",Negative,negative
DO NOT REDEEM!,Neutral,negative
Go home.,Neutral,neutral
"They should be made to pay for the expenses of locating, arresting, transporting, housing, feeding, flying, and deporting them.<br><br>Instead, US taxpayers pay for all of it.",Negative,negative
"Act like a criminal get treated like a criminal.  But it gets better.  Had these ner-do-wells done it legally, and even if they failed the 1st time they could always have come back after the appropriate wait period and tried again.  Because they went the illegal route they are hooped - no 2nd chance - ever!",Very Negative,negative
Canada needs to follow suit,Neutral,neutral
"Precision about getting undocumented migrants out of america, this is about intimidation! Trump is spending three times more taxpayer money flying these migrants on military plane versus a civilian! It&#39;s all for the intimidation Factor! The American president is evil in any religion!",Very Negative,negative
Get over it you know what you were doing was wrong,Negative,negative
You broke the law duh,Negative,negative
You&#39;re on a military aircraft. Of course you will be detained. Better to self deport than be detained for a long flight.,Negative,negative
You lived there illegally past your time and you&#39;re crying that you were sent back?,Negative,negative
Oh cry me a river. You broke US immigration law. That makes you a criminal.,Very Negative,negative
Maybe you should have come in legally.,Positive,neutral
"He spent $50,000 to come here. How many Americans can afford to spend $50k traveling the world.??? He would have been one of the rich people in his community.",Very Positive,neutral
Americans and legal immigrants have no sympathy! You came here illegally and were sponging off our tax money! You were all warned! You listened to Biden who broke all our laws as well! We can’t go squat in your country! Come legally or don’t come at all! Love America,Very Positive,negative
"if the guy had $50,000 To pay to smuggle himself in to the US...that on itself is a lot of money For a place like India And he had no hunger around the corner",Very Negative,neutral
There are a million in the U.S it&#39;s all for show lol,Positive,neutral
Shame on all you so-called Christians. Nobody said we had to treat them like they were the second coming but there’s a large middle ground in between where they are treated and that. shame on you,Very Negative,negative
Bye bye 🎉,Neutral,positive
How long did they think the JB - Kamileen train would last!!!%,Neutral,neutral
Apply the right way and get a work VISA. There is a global crime syndicate operating to take your money and bring you to America illegally. It’s time to stop taking advantage of people.,Very Negative,negative
Lol look at the fool,Neutral,negative
"If you break the law, be a man about it when you get caught, and stop whining.",Negative,negative
These people all look comfortable.   Why wouldn’t you invest that money where you live or immigrate to a country nearby where you can live a good life ? Why pay someone for illegal immigration?   SMH,Negative,negative
"When American inmates are transported, they&#39;re all shackled together as well. This isn&#39;t abnormal by any stretch of the imagination.",Positive,negative
Why are they complaining? THey entered the country illegally and want special treatment?,Positive,negative
Go Trump!!❤ love from Canada 🇨🇦 🇺🇲,Very Positive,positive
Canada needs to do the same,Neutral,neutral
“I have no mouth and I must redeem.”,Negative,neutral
You are suppose to have your habds and feet free on a plane sonyoubcan escape if it crashes,Very Positive,neutral
Do things the legal way and I guarentee you that you will not be shackled like a criminal.,Very Negative,neutral
Boohoo.,Neutral,positive
Unfortunately the media won’t say the real reason they were deported.,Negative,negative
Now it’s Canada’s turn to do the same thing!,Neutral,neutral
