Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
They tried to kill him and he won anyway. I became more religious that day. God saved his life so he could be our leader,tried kill anyway became religious day god saved life could leader,Negative,NEGATIVE
"Trump gets shot, doesn&#39;t know if there is a second shooter or a third, yet Trump pumps his fist and screams fight fight fight<br>That is a true leader",trump gets shot doesnt know second shooter third yet trump pumps fist screams fight fight fightbrthat true leader,Negative,NEGATIVE
"Damm it , he could have been gone already, you lucky man",damm could gone already lucky man,Positive,NEGATIVE
That&#39;s how close it was,thats close,Neutral,POSITIVE
That’s our president 💪,thats president,Neutral,POSITIVE
I can&#39;t watch this without crying! It was God&#39;s presence that prote ted our President 🇺🇸❤️❤️,cant watch without crying gods presence prote ted president,Negative,POSITIVE
Probably some politicians behind this so sad,probably politicians behind sad,Negative,NEGATIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=22"">0:22</a> that fist pump is going to go down in history as one of the most iconic moments of any presidential race, most people would have crawled away terrified, but President Trump stood up, defiant, with blood dripping from his ear and showed the world that he will not be bullied or broken, and he is not afraid.<br><br>i wish him all the best in his second term, and just like last time i&#39;m sure he will make america great again!",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta fist pump going go history one iconic moments presidential race people would crawled away terrified president trump stood defiant blood dripping ear showed world bullied broken afraidbrbri wish best second term like last time im sure make america great,Positive,NEGATIVE
The deepstate failed. Trump is now my commander in chief. God bless you mr President Trump,deepstate failed trump commander chief god bless mr president trump,Positive,NEGATIVE
TRUMP won 💪🎉🎉🎉🎉🎉,trump,Neutral,POSITIVE
"Don&#39;t know why, I&#39;m crying when this happened, god please save him i know he&#39;s a good man",dont know im crying happened god please save know hes good man,Positive,POSITIVE
He is a badass. Trump 👍🏻,badass trump,Negative,NEGATIVE
Fight fight fight that scene will be written in the history books for the next generations to come,fight fight fight scene written history books next generations come,Negative,POSITIVE
He took a bullet so his country can dodge one.  Not a lot of world leaders can say that.,took bullet country dodge one lot world leaders say,Neutral,NEGATIVE
Dont touch my president unless you ready for a change,dont touch president unless ready change,Positive,NEGATIVE
No one will ever convince me that this wasn’t an inside job.,one ever convince wasnt inside job,Positive,NEGATIVE
This is the day he won my vote true leader,day vote true leader,Positive,POSITIVE
I remember when the so called &quot;gun experts&quot; (twitter libs) said it was firecrackers.,remember called quotgun expertsquot twitter libs said firecrackers,Neutral,NEGATIVE
50 cent.,cent,Neutral,POSITIVE
Videos on this assassination attempt are really hard to find on YouTube now. Why? Another attempt at YouTube  trying to censor this.,videos assassination attempt really hard find youtube another attempt youtube trying censor,Negative,NEGATIVE
That was so badass and makes me proud to be an American🇺🇸🇺🇸🇺🇸,badass makes proud american,Positive,POSITIVE
Trump is the man,trump man,Neutral,POSITIVE
Nobody can take down Trump,nobody take trump,Neutral,NEGATIVE
God spared you Mr President,god spared mr president,Positive,NEGATIVE
"&#39;The butler&#39; did it (not the state but butler is the one&#39;s nickname - restaurant man/mansion, probably has mustaces but not nessessarely, he has lived/been that state) novell by Agatha Christie. They use books, movies, tv-series I liked always blaming me and my family.. 😢<br>I hope never again, and you are fine mr. Trump.",butler state butler ones nickname restaurant manmansion probably mustaces nessessarely livedbeen state novell agatha christie use books movies tvseries liked always blaming family bri hope never fine mr trump,Positive,NEGATIVE
God is good,god good,Positive,POSITIVE
I say I say can you hear me now,say say hear,Neutral,POSITIVE
"It’s all bollocks, it’s the only camera video footage? There are many cameras in this crowd? Why is this the one &amp; only camera video footage of this??????????",bollocks camera video footage many cameras crowd one amp camera video footage,Neutral,NEGATIVE
&quot;Trump falls after loud noises&quot;,quottrump falls loud noisesquot,Neutral,NEGATIVE
I had pretty much made up my mind that I was gonna vote for Trump before this but didn’t feel great about it. <br>This is the moment I decided to go all in on President Trump 🇺🇸,pretty much made mind gon na vote trump didnt feel great brthis moment decided go president trump,Negative,NEGATIVE
“im cracked!”<br>-donald trump,im crackedbrdonald trump,Neutral,NEGATIVE
Donald Duck,donald duck,Neutral,POSITIVE
That small tilt made a big difference.,small tilt made big difference,Neutral,POSITIVE
Take a look what happen😱😱😱😱,take look happen,Neutral,POSITIVE
That tilt of the head my god such a small moment became history all from the tilt of his head,tilt head god small moment became history tilt head,Positive,POSITIVE
Almost,almost,Neutral,NEGATIVE
Make America Great Again !,make america great,Positive,POSITIVE
Trump is a badass,trump badass,Negative,NEGATIVE
"Thank you President Trump for taking over that lost, chaotic, messy non sense administration..  thank you for putting things in order again..thank you for protecting our common sense, our principles and values.. and our sanity.",thank president trump taking lost chaotic messy non sense administration thank putting things order againthank protecting common sense principles values sanity,Negative,NEGATIVE
Luck was on his side that day..very lucky to walk away alive and now he is back  at the top.. ❤ him or hate him😠🇺🇲,luck side dayvery lucky walk away alive back top hate,Positive,POSITIVE
It makes me angry that some of the best secret service on the planet let this happens. Very bad drills...seems intentional. Innocent lives lost.,makes angry best secret service planet let happens bad drillsseems intentional innocent lives lost,Negative,NEGATIVE
THATS MY PRESIDENT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,thats president,Neutral,POSITIVE
Courageous man. A great friend of India,courageous man great friend india,Positive,POSITIVE
The day he won is this day,day day,Neutral,POSITIVE
Ahahahaha  whos the director?😂😂😂😂,ahahahaha whos director,Neutral,POSITIVE
The woman security hugging Trump had me crying,woman security hugging trump crying,Positive,NEGATIVE
"Trump was shot at 6:11 PM.<br><br>Ephesians 6:11-12 says, &quot;Put on the full armor of God, so that you can take your stand against the devil&#39;s schemes. For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms&quot;.",trump shot pmbrbrephesians says quotput full armor god take stand devils schemes struggle flesh blood rulers authorities powers dark world spiritual forces evil heavenly realmsquot,Negative,NEGATIVE
President Trump you are the most badass American President of all time and as a Hispanic Citizen I feel honored to gave given you my vote 🦅🇺🇸,president trump badass american president time hispanic citizen feel honored gave given vote,Positive,NEGATIVE
badass,badass,Negative,NEGATIVE
Trump ❤️🇺🇸,trump,Neutral,POSITIVE
"To me God spared his very life so that he can be the best president the USA has ever seen, up there with Washington and Lincoln and JFK. God bless Donald Trump.",god spared life best president usa ever seen washington lincoln jfk god bless donald trump,Positive,POSITIVE
Absolute legend of a man!!! everyone destroying him standing strong at 70 year old unbelievable 👏,absolute legend man everyone destroying standing strong year old unbelievable,Positive,NEGATIVE
We are living History. He is an amazing man that will be revered for generations to come. He will be studied. He will be mimicked but never duplicated.,living history amazing man revered generations come studied mimicked never duplicated,Positive,POSITIVE
The moment he won the country back !!!!!! Feel terrible for the poor person who lost their life and his family tho 🙏,moment country back feel terrible poor person lost life family tho,Negative,NEGATIVE
How many innocent people died? I remember hearing people died now the media is covering it up,many innocent people died remember hearing people died media covering,Negative,NEGATIVE
THIS WAS THE MOMENT HE BECAME THE PRESIDENT OF UNITED STATES OF AMERICA.,moment became president united states america,Positive,POSITIVE
Turning point,turning point,Neutral,POSITIVE
This is so sad,sad,Negative,NEGATIVE
This won him the election,election,Neutral,POSITIVE
Service are the ones who want to kill Trump Just to accuse someone of killing him,service ones want kill trump accuse someone killing,Negative,NEGATIVE
Trump won🎉🎉,trump,Neutral,POSITIVE
the shooter wanted trump to win.,shooter wanted trump win,Positive,NEGATIVE
THATS MY PRESIDENT.,thats president,Neutral,POSITIVE
he won the presidency because of this,presidency,Neutral,POSITIVE
Donald Trump won Twice this year,donald trump twice year,Neutral,POSITIVE
Crazy how everyone forgot about this 1 week after,crazy everyone forgot week,Negative,NEGATIVE
This is a truly historically iconic video,truly historically iconic video,Positive,POSITIVE
That’s where the election was won and the beginning of the end for the woke left,thats election beginning end woke left,Neutral,NEGATIVE
God is with him❤,god,Positive,POSITIVE
"That&#39;s defiance against the odds right there, how many other would have stood there after nearly getting killed n stood shouting fight fight fight, gutsy and courageous.",thats defiance odds right many would stood nearly getting killed n stood shouting fight fight fight gutsy courageous,Negative,POSITIVE
This is what won him the election. What a badass moment for Trump.,election badass moment trump,Negative,NEGATIVE
"The leftist mainstream news all initially called this an “incident.”  They even said, “Trump had to cut his rally short after an incident.”  Let that sink in.",leftist mainstream news initially called incident even said trump cut rally short incident let sink,Negative,NEGATIVE
The people behind Trump are incredibly too !,people behind trump incredibly,Neutral,POSITIVE
This is soooooooooo staged!! It&#39;s laughable,soooooooooo staged laughable,Positive,NEGATIVE
The moment he became #47,moment became,Neutral,POSITIVE
Gives me chills every time,gives chills every time,Neutral,POSITIVE
"what a great president,proud to have him in office again,",great presidentproud office,Positive,POSITIVE
you had one job.,one job,Neutral,POSITIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=23"">0:23</a> <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=24"">0:24</a> ❤❤❤❤❤❤❤❤❤❤",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta,Neutral,NEGATIVE
Fking gives me goosebumps. And I am a purple heart vet,fking gives goosebumps purple heart vet,Neutral,POSITIVE
"He missed Trump, so he fired the rest of his bullets. What was he shooting at?",missed trump fired rest bullets shooting,Negative,NEGATIVE
This video will make Trump a legend in the years to come.,video make trump legend years come,Neutral,POSITIVE
"He looks, that’s our president ✊🏻🇺🇸",looks thats president,Neutral,POSITIVE
😂😂😂😂😂,,Neutral,Neutral
"MLK, JFK, MALCOM, LINCOLN",mlk jfk malcom lincoln,Neutral,NEGATIVE
"<a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=24"">0:24</a><br>This is where it sealed the deal",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyamptabrthis sealed deal,Neutral,NEGATIVE
After shots were heard??? HE WAS SHOT,shots heard shot,Neutral,NEGATIVE
This is wheh he won,wheh,Neutral,NEGATIVE
The man got shot and still ran for the country. You gotta respect it.,man got shot still ran country got ta respect,Positive,POSITIVE
And they wonder “How did he win?!?!”.<br><br>Duh.,wonder winbrbrduh,Neutral,POSITIVE
😂😂😂😂😂,,Neutral,Neutral
"+++<br>July 13th, Blessed Virgin&#39;s day (of Fatima)",brjuly th blessed virgins day fatima,Positive,POSITIVE
"2 impeachments. 4 arrests. 91 charges. 2 attempts on his life.<br><br>STILL WON .🇺🇸🇺🇸",impeachments arrests charges attempts life br brstill,Negative,NEGATIVE
That&#39;s your president.,thats president,Neutral,POSITIVE
"I missed this scene as I was in rehab but I don&#39;t think Americans would ever come close to seeing someone who rose to applaud his people despite being shot...He gave them a reason to believe...I don&#39;t know what happens next but he&#39;s definitely a Warrior for American people. A true Phoenix who rose from the ashes of the bullet that would&#39;ve killed many American dreams that day...Hats off, Trump",missed scene rehab dont think americans would ever come close seeing someone rose applaud people despite shothe gave reason believei dont know happens next hes definitely warrior american people true phoenix rose ashes bullet wouldve killed many american dreams dayhats trump,Positive,NEGATIVE
That&#39;s a man who will defend us. Thank you Mr. President for your immense sacrifices. God protect you on your mission to heal this nation and this planet. 🇺🇸❤️,thats man defend us thank mr president immense sacrifices god protect mission heal nation planet,Positive,POSITIVE
That&#39;s church folks.  &quot; Strike me down Darth and I will become more powerful than you can possibly imagine.&quot;  B. Kenobi.,thats church folks quot strike darth become powerful possibly imaginequot b kenobi,Positive,POSITIVE
cinema,cinema,Neutral,POSITIVE
"Oh my scary,but thank God he still a live have Purpose thats y he WON the President of America.",oh scarybut thank god still live purpose thats president america,Positive,POSITIVE
Titanium,titanium,Neutral,POSITIVE
Who’s here after he won?,whos,Neutral,NEGATIVE
GOD BLESS THE USA AND GOD BLESS DONALD TRUMP,god bless usa god bless donald trump,Positive,POSITIVE
As you well know this was completed staged... notice how nobody in the crowd is scrambling for their lives everybody is sitting there just as calm as can be... oh and it clapped way too early that was clap before,well know completed staged notice nobody crowd scrambling lives everybody sitting calm oh clapped way early clap,Positive,NEGATIVE
Fight ! Fight !,fight fight,Negative,POSITIVE
Makes me cry why did he have to miss every shot,makes cry miss every shot,Negative,NEGATIVE
Him living this was when I KNEW he was DESTINED to be President and nothing was gonna stop him,living knew destined president nothing gon na stop,Positive,NEGATIVE
Surreal moment!,surreal moment,Neutral,POSITIVE
The moment that sealed his 2025 presidency 🎉,moment sealed presidency,Neutral,POSITIVE
😂😂😂😂😂😂 that what happens when you won the election 😂😂😂😂,happens election,Neutral,POSITIVE
I can officially say this was The moment that won Trump the election,officially say moment trump election,Neutral,POSITIVE
How heartless can people get? he has a family and yet someone him shot because of what he did with america,heartless people get family yet someone shot america,Negative,NEGATIVE
First time watching this again and a while and I didn’t realize how close the the shot he actually move his head wow a split second later and he was dead no exaggeration,first time watching didnt realize close shot actually move head wow split second later dead exaggeration,Negative,NEGATIVE
Welcome your new USA president leader😊,welcome new usa president leader,Positive,POSITIVE
This is the moment that Trump won the election,moment trump election,Neutral,POSITIVE
Fight fight fight ✊✊✊,fight fight fight,Negative,POSITIVE
You can&#39;t get more American than this.,cant get american,Neutral,NEGATIVE
"absolutely amazing. a 78 year old man getting shot in the ear and millimetres away from dying, then getting up and raising a fist at the crowd telling them to fight. Donald Trump is a perfect example of what the president should be",absolutely amazing year old man getting shot ear millimetres away dying getting raising fist crowd telling fight donald trump perfect example president,Positive,POSITIVE
"Que hubiera pasado si eso daba...<br>Seguramente la 3ra guerra mundial se hubiera adelantado, pero no porque murio trump, simplemente kamala no sabria gobernar con dos guerras jodidas y esa debilidad la aprovecharia putín",que hubiera pasado si eso dababrseguramente la ra guerra mundial se hubiera adelantado pero porque murio trump simplemente kamala sabria gobernar con dos guerras jodidas esa debilidad la aprovecharia putn,Neutral,NEGATIVE
"With two would-be assassins on the campaign trail, I wouldn&#39;t be surprised if this happened at least once again during his presidency.",two wouldbe assassins campaign trail wouldnt surprised happened least presidency,Negative,NEGATIVE
The bb gun trump what is that hahahaha me.... 😂😂😂🎉🎉🎉🎉,bb gun trump hahahaha,Negative,NEGATIVE
"In <a href=""https://www.youtube.com/watch?v=NsfMPTiIuvY&amp;t=12"">0:12</a> trump said the f word",hrefhttpswwwyoutubecomwatchvnsfmptiiuvyampta trump said f word,Neutral,NEGATIVE
Moment he won the election right here,moment election right,Neutral,POSITIVE
"Makes me cry everytime! What a man, What a leader!",makes cry everytime man leader,Negative,NEGATIVE
what a lie and he got hit in the ear,lie got hit ear,Neutral,NEGATIVE
hahahaa sciema 😂😂😂😂❤,hahahaa sciema,Neutral,NEGATIVE
Fight fight fight = Tatakai Tatakai Tatakai = Eren Yeager. Ofcourse Trump won !,fight fight fight tatakai tatakai tatakai eren yeager ofcourse trump,Negative,NEGATIVE
Who’s here after Trump won?,whos trump,Neutral,NEGATIVE
Ganhou a eleição nesse dia!,ganhou eleio nesse dia,Neutral,NEGATIVE
"If Trump is what America wants, then who am I to speak out against them!",trump america wants speak,Neutral,POSITIVE
"As yesterday showed, we fought, we’ll continue to fight, and we will Make America Healthy/Great Again.",yesterday showed fought well continue fight make america healthygreat,Negative,POSITIVE
Who&#39;s here after Trump won?,whos trump,Neutral,NEGATIVE
This was the moment he won the election.,moment election,Neutral,POSITIVE
This happened on my birthday 😅,happened birthday,Neutral,POSITIVE
It was at this moment God decided he wasn&#39;t done with Trump or America,moment god decided wasnt done trump america,Positive,NEGATIVE
TRUMP THE $&amp;TH PRESIDENT OF THE UNITED STATES!! This moment will do down as the man who saved America when history writes itself.,trump ampth president united states moment man saved america history writes,Positive,POSITIVE
"I&#39;m strongly against Trump and everything he stands for, yet I can confidently say that there is nothing democratic about this. What a shameful, misguided, and hypocritical attempt to &quot;protect&quot; democracy.",im strongly trump everything stands yet confidently say nothing democratic shameful misguided hypocritical attempt quotprotectquot democracy,Positive,POSITIVE
HE LIVED BECAUSE HE IS STILL NEEDS TO DO THINGS FOR THE NEXT FOUR YEARS.,lived still needs things next four years,Neutral,NEGATIVE
Maga. 3 peat,maga peat,Neutral,NEGATIVE
The moment he went “FIGHT” mode he won 😂,moment went fight mode,Negative,POSITIVE
The exact  moment Donald Trump won the 2024 election,exact moment donald trump election,Neutral,POSITIVE
Im so happy he’s our president now! 🎉❤,im happy hes president,Positive,POSITIVE
Congratulations trump for winning elections,congratulations trump winning elections,Positive,POSITIVE
That moment won him the election,moment election,Neutral,POSITIVE
"When you tear out a man&#39;s tongue, you are not proving him a liar, you&#39;re only telling the world that you fear what he might say. - George R.R. Martin",tear mans tongue proving liar youre telling world fear might say george rr martin,Negative,NEGATIVE
PRESIDENT TRUMP &#39;SAY  HIS NAME &#39;!!!!,president trump say name,Neutral,POSITIVE
TRUMP 2024 MAGA!!!!!!!!!!!!!!!!!,trump maga,Neutral,NEGATIVE
This is the real moment he won the election,real moment election,Neutral,POSITIVE
Trump 2024 MAGA,trump maga,Neutral,NEGATIVE
This moment should tell everyone this man is willing to risk his life for this country. Despite all the odds against him he didn’t give up. I’m happy the citizens of this country united and chose him to lead us to a better future. God bless America! ❤🤍💙 I pray for our nation today and always,moment tell everyone man willing risk life country despite odds didnt give im happy citizens country united chose lead us better future god bless america pray nation today always,Positive,POSITIVE
"Fight, fight, fight! Chills Everytime. What an American.",fight fight fight chills everytime american,Negative,POSITIVE
GREATEST OF ALL TIME!!!!!,greatest time,Positive,POSITIVE
wtf what is that??😮😮😮,wtf,Negative,POSITIVE
Now he is the president,president,Neutral,POSITIVE
"What doesn&#39;t kill you, makes you stronger. This is the moment Trump won the 2024 election! You can say what you want about Trump but he showed great courage and incredible political sense when he pumped his fist in the air and shouted &quot;we fight!&quot; right after getting shot at on stage.",doesnt kill makes stronger moment trump election say want trump showed great courage incredible political sense pumped fist air shouted quotwe fightquot right getting shot stage,Positive,POSITIVE
This guy is bulletproof,guy bulletproof,Neutral,POSITIVE
Survive assassination attempt and now won the election 🎉,survive assassination attempt election,Negative,NEGATIVE
There were so many other shots fired it’s just sad if he didn’t move at the right moment he could or would’ve died I’m just hoping they caught the person I haven’t been watching the news,many shots fired sad didnt move right moment could wouldve died im hoping caught person havent watching news,Negative,NEGATIVE
Here after he wins again and is ready to be the 47th president of THE UNITED STATES OF AMERICA,wins ready th president united states america,Positive,POSITIVE
Who is here after Trump got re-elected? Not an American but I love Trump,trump got reelected american love trump,Positive,POSITIVE
TRUMP IS BACK! GOD BLESS AMERICA,trump back god bless america,Positive,POSITIVE
"How quickly they brushed this off. If it&#39;s the usual aggressive algorithm that&#39;s working here, these videos would get recommended again in everyones&#39; homepage now that Trump won the election. Or it might happen sooner, because you know they can&#39;t do anything about it anymore, so, money it is",quickly brushed usual aggressive algorithm thats working videos would get recommended everyones homepage trump election might happen sooner know cant anything anymore money,Positive,NEGATIVE
Here after the Elections to again see his attitude 🗿🗿,elections see attitude,Neutral,NEGATIVE
How you miss🤦🏾‍♂️,miss,Negative,NEGATIVE
Watching this on election day. Absolute chills.,watching election day absolute chills,Neutral,NEGATIVE
And that my friend is when he won the election!,friend election,Positive,POSITIVE
"When I first saw this, I thought, &quot;This is it. They can&#39;t stop him now.&quot; <br><br>Finally, Trump 2024.",first saw thought quotthis cant stop nowquot brbrfinally trump,Positive,NEGATIVE
This still feel like it happened yesterday,still feel like happened yesterday,Positive,NEGATIVE
This was when he won.,,Neutral,Neutral
This is the moment Trump won the election,moment trump election,Neutral,POSITIVE
God must loved him so much,god must loved much,Positive,POSITIVE
Who&#39;s here after he became the 47th president of US?,whos became th president us,Neutral,POSITIVE
Congratulations Donald trump you are now the 47th president is of the United States of America it&#39;s been a  long day for me watching you become president on tv but you won good on you your a powerful man in a powerful position use your power for good for the world and  keep me safe okay Derham Alwyn  Paul I&#39;m a great man like you no 1,congratulations donald trump th president united states america long day watching become president tv good powerful man powerful position use power good world keep safe okay derham alwyn paul im great man like,Positive,POSITIVE
Massive balls,massive balls,Neutral,POSITIVE
MAGA MAHA,maga maha,Neutral,NEGATIVE
TRUMP WINS THE ELECTION 2024!!!!!!❤❤❤❤❤,trump wins election,Positive,POSITIVE
HERO PRESIDENT<br><br>WE ARE SO BACK,hero presidentbrbrwe back,Positive,POSITIVE
Zero build players with mini shields be like,zero build players mini shields like,Positive,NEGATIVE
How the heck is news telling me he wasn&#39;t shot?,heck news telling wasnt shot,Neutral,NEGATIVE
Civil war almost started.,civil war almost started,Negative,NEGATIVE
Wow edit Ty for the like,wow edit ty like,Positive,POSITIVE
We are so blessed to have him as our president,blessed president,Positive,POSITIVE
Hi,hi,Neutral,POSITIVE
That is DIVINE INTERVENTION! There is SOMETHING supernatural PROTECTING TRUMP!<br><br>That could have been a JFK moment. As close as the shooter was and Trump turns his head at the precise moment. <br><br>Trump is a Trumpet! A King Cyrus of Isaiah 45:1-7.,divine intervention something supernatural protecting trumpbrbrthat could jfk moment close shooter trump turns head precise moment brbrtrump trumpet king cyrus isaiah,Positive,NEGATIVE
"We wrestle not against muscle and blood, but principalities and powers",wrestle muscle blood principalities powers,Neutral,POSITIVE
FIGHT 🤜,fight,Negative,NEGATIVE
Staged,staged,Neutral,POSITIVE
I hope this wasn’t a Kamala fan,hope wasnt kamala fan,Positive,NEGATIVE
Tbh bad aim but I cant believe some died behind him I see blood on a person,tbh bad aim cant believe died behind see blood person,Negative,NEGATIVE
Freaking awesome man! Courageous Trump!,freaking awesome man courageous trump,Positive,POSITIVE
<b>Smiles</b>,bsmilesb,Neutral,NEGATIVE
The women secret service were the epitome of useless. They’re DEI hires,women secret service epitome useless theyre dei hires,Negative,NEGATIVE
Who does he want us to fight??? lol,want us fight lol,Positive,POSITIVE
I was vacationing in north carolina when this happened. tomorrow marks the big day to decide the election. Im rooting for you TRUMP !!!!,vacationing north carolina happened tomorrow marks big day decide election im rooting trump,Neutral,POSITIVE
Sounded like a paintball gun to be honest,sounded like paintball gun honest,Positive,POSITIVE
Sad to see such happen,sad see happen,Negative,NEGATIVE
If i was an American i&#39;d be voting for a man who is prepared to die for his country.,american id voting man prepared die country,Negative,NEGATIVE
Why does this sound like a paintball gun,sound like paintball gun,Positive,NEGATIVE
Why did they cut the segment where you can hear people announce &quot;The shooter is down&quot;? Are they trying to support the conspiracy theories that this was a hoax?,cut segment hear people announce quotthe shooter downquot trying support conspiracy theories hoax,Negative,NEGATIVE
thats gangster im not gonna lie,thats gangster im gon na lie,Neutral,NEGATIVE
AMAZING!! How ALL MAINSTREAM MEDIA..SILENCES!! Trump saying FIGHT..FIGHT..FIGHT! In EVERY CLIP! His VOICE. Cut off on PURPOSE! HE WAS MIKED!!!!,amazing mainstream mediasilences trump saying fightfightfight every clip voice cut purpose miked,Positive,POSITIVE
Put Donald Trump back in jail,put donald trump back jail,Neutral,NEGATIVE
Donald Trump got shot in the ear,donald trump got shot ear,Neutral,NEGATIVE
"Under this Biden and Harris administration, we&#39;ve faced record inflation, new wars in Ukraine and Gaza,  immigration crisis, rising political violence, and even an assassination attempt on Trump. The country is more unstable, divided, and weak than ever before.",biden harris administration weve faced record inflation new wars ukraine gaza immigration crisis rising political violence even assassination attempt trump country unstable divided weak ever,Negative,NEGATIVE
Fake! 😂😂😂😂😂😂😂,fake,Negative,NEGATIVE
"The spirit of the man after having bullets came at him is admirable.  When he raised his fist and said &quot;fight, fight, fight!&quot;.  We need a strong president!",spirit man bullets came admirable raised fist said quotfight fight fightquot need strong president,Positive,POSITIVE
OMG I FEEL SO BAD,omg feel bad,Negative,NEGATIVE
I don’t know why this is ever news worthy. Isn’t there a shooting in the US every minute and a mass shooting every few days.,dont know ever news worthy isnt shooting us every minute mass shooting every days,Positive,NEGATIVE
трамп 🤡👎 Харрис 🦅👏🇺🇸💪,,Neutral,Neutral
Diddy lasted longer in the news cycle than this,diddy lasted longer news cycle,Neutral,NEGATIVE
"You harvest what you seed. He seeded plenty of violence since 2016, just sayin.",harvest seed seeded plenty violence since sayin,Negative,NEGATIVE
Many Men,many men,Neutral,POSITIVE
The man so unpopular that even getting shot at didn&#39;t convince more people to vote for him,man unpopular even getting shot didnt convince people vote,Negative,NEGATIVE
Hardest moment in the American presidential history in the last 30 years.,hardest moment american presidential history last years,Neutral,POSITIVE
Remember this and VOTE. VOOOTE,remember vote vooote,Neutral,POSITIVE
He&#39;s got balls and so do Americans,hes got balls americans,Neutral,POSITIVE
He had just turned his had..,turned,Neutral,POSITIVE
+1 vote for trump :)),vote trump,Neutral,POSITIVE
"When atheists ask for proof in God, I think of stuff like this. God is clearly protecting this man, nobody is that lucky.",atheists ask proof god think stuff like god clearly protecting man nobody lucky,Positive,NEGATIVE
Hulk Hogan thought him how to use the razor,hulk hogan thought use razor,Neutral,NEGATIVE
"And people are saying that this was staged? There were people in this rally that died from assassination attempt, was that staged?",people saying staged people rally died assassination attempt staged,Negative,NEGATIVE
They failed to assainated the destine to rule America,failed assainated destine rule america,Negative,NEGATIVE
So close to saving democracy and yet so far,close saving democracy yet far,Neutral,POSITIVE
"So, if the bullet grazed his ear, did it also miss anyone at the back?????????? A question I wouldn&#39;t know.",bullet grazed ear also miss anyone back question wouldnt know,Negative,NEGATIVE
Tthe most gangster president,tthe gangster president,Neutral,NEGATIVE
"What i find interesting is Jack Smith dropped his charges shortly before this, then when this attempt had failed he refiled some of those charges. Who wants to be known as the man who indicted a fallen hero?",find interesting jack smith dropped charges shortly attempt failed refiled charges wants known man indicted fallen hero,Negative,NEGATIVE
God saved this man to protect the America,god saved man protect america,Positive,POSITIVE
Mr: Donald Trump is already qualified &amp; win.<br>🤲🙏🇮🇳🇧🇩🇮🇳🙏🤲,mr donald trump already qualified amp winbr,Neutral,POSITIVE
this is horrible,horrible,Negative,NEGATIVE
As he says &quot;take a look at what happen&quot; he gets shot,says quottake look happenquot gets shot,Neutral,NEGATIVE
"2025 is the year of the snake. &quot;Oh, shut up, silly woman. You knew damn well I was a snake before you took me in.&quot; 🐍",year snake quotoh shut silly woman knew damn well snake took inquot,Negative,NEGATIVE
🤣🤣🤣🤣,,Neutral,Neutral
Bro could’ve easily been Tupac but thankfully he’s only 50 cent,bro couldve easily tupac thankfully hes cent,Positive,NEGATIVE
airsoft gun hahahha,airsoft gun hahahha,Negative,NEGATIVE
"I don&#39;t know exactly why I came back to this video.<br>I will not, and never will vote for him<br><br>BUT I&#39;m really disgusted at the comments in this video.<br>He is a terrible person but EVEN WITH THE MISS, THIS IS A TRAGEDY.  If the shooter was successful, it would have been a tragedy.<br><br>I do think Trump is a fascist and should never get close to the white house again, but still, this is a horrible, tragic event.",dont know exactly came back videobri never vote himbrbrbut im really disgusted comments videobrhe terrible person even miss tragedy shooter successful would tragedybrbri think trump fascist never get close white house still horrible tragic event,Negative,NEGATIVE
"Wait so where did the bullet go after hitting him? There was literally a crowd behind him, unless that bullet just somehow missed anyone in the background?",wait bullet go hitting literally crowd behind unless bullet somehow missed anyone background,Negative,NEGATIVE
"The American security are hilarious , you can see the bullets above trump and almost hit him",american security hilarious see bullets trump almost hit,Positive,POSITIVE
It’s just sad cause you know one family is having the worst moment of their life in this video,sad cause know one family worst moment life video,Negative,NEGATIVE
This is the most American thing ive ever seen,american thing ive ever seen,Neutral,POSITIVE
But when was Donald Trump killed?,donald trump killed,Negative,NEGATIVE
Stupid mascarade before election😂,stupid mascarade election,Negative,NEGATIVE
god why couldent that kid see straight,god couldent kid see straight,Positive,NEGATIVE
The fact that he fist pumped the crowd and said ´fight´ is just unreal. Couldn&#39;t see Biden or Harris doing that.,fact fist pumped crowd said fight unreal couldnt see biden harris,Negative,NEGATIVE
